,movie,year,timeMin,imdb,votes
0,Zack Snyder's Justice League,2021,242,8.1,268806
1,The Father,2020,97,8.3,37366
2,Sound of Metal,2019,120,7.8,68431
3,Sleepers,1996,147,7.6,195363
4,Avengers: Endgame,2019,181,8.4,859689
5,The Trial of the Chicago 7,2020,129,7.8,134349
6,The Godfather,1972,175,9.2,1649009
7,Another Round,2020,117,7.8,62756
8,Saving Private Ryan,1998,169,8.6,1255760
9,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,777679
10,Soul,2020,100,8.1,226001
11,Once Upon a Time... In Hollywood,2019,161,7.6,574158
12,The Shawshank Redemption,1994,142,9.3,2380099
13,Parasite,2019,132,8.6,593882
14,The Dark Knight,2008,152,9.0,2343877
15,Harry Potter and the Sorcerer's Stone,2001,152,7.6,670742
16,Titanic,1997,194,7.8,1061351
17,Knives Out,2019,130,7.9,482512
18,Joker,2019,122,8.4,984503
19,Avengers: Infinity War,2018,149,8.4,867600
20,Harry Potter and the Half-Blood Prince,2009,153,7.6,483939
21,The Wolf of Wall Street,2013,180,8.2,1215395
22,Pulp Fiction,1994,154,8.9,1854115
23,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,1685708
24,Blade Runner 2049,2017,164,8.0,474791
25,Interstellar,2014,169,8.6,1546642
26,Inglourious Basterds,2009,153,8.3,1290725
27,The Gentlemen,2019,113,7.8,258043
28,A Star Is Born,2018,136,7.6,342950
29,Inception,2010,148,8.8,2102235
30,Thor: Ragnarok,2017,130,7.9,607427
31,Captain America: Civil War,2016,147,7.8,680032
32,Guardians of the Galaxy,2014,121,8.0,1059230
33,Captain America: The Winter Soldier,2014,136,7.7,750667
34,The Game,1997,129,7.8,352501
35,Watchmen,2009,162,7.6,511981
36,Bohemian Rhapsody,2018,134,8.0,464336
37,The Goonies,1985,114,7.8,247763
38,Jojo Rabbit,2019,108,7.9,314573
39,Alien,1979,117,8.4,799283
40,Dazed and Confused,1993,102,7.6,168817
41,Back to the Future,1985,116,8.5,1075897
42,Shutter Island,2010,138,8.2,1152699
43,The Silence of the Lambs,1991,118,8.6,1291901
44,Deadpool 2,2018,119,7.7,492938
45,The Godfather: Part II,1974,202,9.0,1147941
46,The Matrix,1999,136,8.7,1702320
47,Forrest Gump,1994,142,8.8,1841186
48,Gone Girl,2014,149,8.1,877398
49,The Avengers,2012,143,8.0,1276843
